,,,,,,（単位：千円）,
令　　　　　和　　　　　５　　　　　年　　　　　度,,,,,,,
主　 要　 経　 費 　別,,,,当　初　予　算,補　正　予　算,計,
,,,,,,,
,社会保障関係費,,,,,,
,1.,年金給付費,,13085689398,ー,13085689398,
,2.,医療給付費,,12151734478,39905325,12191639803,
,3.,介護給付費,,3680922304,33957459,3714879763,
,4.,少子化対策費,,3141232662,-59912945,3081319717,
,5.,生活扶助等社会福祉費,,4309280757,287611791,4596892548,
,6.,保健衛生対策費,,475369819,996552351,1471922170,
,7.,雇用労災対策費,,44657489,1518894,46176383,
,計,,,36888886907,1299632875,38188519782,
,文教及び科学振興費,,,,,,
,1.,義務教育費国庫負担金,,1521553000,38534898,1560087898,
,2.,科学技術振興費,,1394155025,2770837364,4164992389,
,3.,文教施設費,,74257061,158111612,232368673,
,4.,教育振興助成費,,2305387414,119617901,2425005315,
,5.,育英事業費,,120438087,3665308,124103395,
,計,,,5415790587,3090767083,8506557670,
,国債費,,,25250340249,424422808,25674763057,
,恩給関係費,,,96966341,-83469,96882872,
,地方交付税交付金,,,16182275658,781983831,16964259489,
,地方特例交付金,,,216900000,ー,216900000,
,防衛関係費,,,10168585359,1850905674,12019491033,
,公共事業関係費,,,,,,
,1.,治山治水対策事業費,,954384000,356887510,1311271510,
,2.,道路整備事業費,,1671083000,390674984,2061757984,
,3.,港湾空港鉄道等整備事業費,,397584000,108411279,505995279,
,4.,住宅都市環境整備事業費,,730657000,244986621,975643621,
,5.,公園水道廃棄物処理等施設整備費,,178362000,83485664,261847664,
,6.,農林水産基盤整備事業費,,607848000,254972685,862820685,
,7.,社会資本総合整備事業費,,1380489000,349545611,1730034611,
,8.,推進費等,,61938000,6350000,68288000,
,小　　　　　　計,,,5982345000,1795314354,7777659354,
,9.,災害復旧等事業費,,77649000,402587000,480236000,
,計,,,6059994000,2197901354,8257895354,
,経済協力費,,,511374240,281977066,793351306,
,中小企業対策費,,,170376011,565004719,735380730,
,エネルギー対策費,,,853964883,174131213,1028096096,
,食料安定供給関係費,,,1265365268,435865238,1701230506,
,その他の事項経費,,,5800416066,4596655870,10397071936,
,"原油価格・物価高騰対策及び
賃上げ促進環境整備対応予備費",,,4000000000,-2000000000,2000000000,　
,ウクライナ情勢経済緊急対応予備費,,,1000000000,-500000000,500000000,
,予備費,,,500000000,ー,500000000,
,,,,,,,
,合　　　　　　計,,,114381235569,13199164262,127580399831,
," （注)　「新型コロナウイルス感染症及び原油価格・物価高騰対策予備費」は、その使途を変更し、
　　　「原油価格・物価高騰対策及び賃上げ促進環境整備対応予備費」へ名称変更されたものである。",,,,,,
