,,,,,,（単位：千円）,
令　　　　　和　　　　　３　　　　　年　　　　　度,,,,,,,
主　 要　 経　 費 　別,,,,当　初　予　算,補　正　予　算,計,
,,,,,,,
,社会保障関係費,,,,,,
,1.,年金給付費,,12700453801,－,12700453801,
,2.,医療給付費,,11982061293,49124538,12031185831,
,3.,介護給付費,,3466184995,115096698,3581281693,
,4.,少子化対策費,,3045837926,-28468809,3017369117,
,5.,生活扶助等社会福祉費,,4071635104,3564648563,7636283667,
,6.,保健衛生対策費,,476818409,4785329451,5262147860,
,7.,雇用労災対策費,,99113423,2622209349,2721322772,
,計,,,35842104951,11107939790,46950044741,
,文教及び科学振興費,,,,,,
,1.,義務教育費国庫負担金,,1516381000,10744699,1527125699,
,2.,科学技術振興費,,1367281010,2342091622,3709372632,
,3.,文教施設費,,77344280,134034631,211378911,
,4.,教育振興助成費,,2312398195,160486198,2472884393,
,5.,育英事業費,,123476253,70041691,193517944,
,計,,,5396880738,2717398841,8114279579,
,国債費,,,23758758484,946364183,24705122667,
,恩給関係費,,,,,,
,1.,文官等恩給費,,6014333,-10500,6003833,
,2.,旧軍人遺族等恩給費,,130029255,－,130029255,
,3.,恩給支給事務費,,884563,-127991,756572,
,4.,遺族及び留守家族等援護費,,8168898,517791,8686689,
,計,,,145097049,379300,145476349,
,地方交付税交付金,,,15591220690,3511654801,19102875491,
,地方特例交付金,,,357684000,97023339,454707339,
,防衛関係費,,,5323546421,765522832,6089069253,
,公共事業関係費,,,,,,
,1.,治山治水対策事業費,,932032000,312181269,1244213269,
,2.,道路整備事業費,,1663434000,315527375,1978961375,
,3.,港湾空港鉄道等整備事業費,,396908000,90361420,487269420,
,4.,住宅都市環境整備事業費,,687173000,125854533,813027533,
,5.,公園水道廃棄物処理等施設整備費,,141185000,69142167,210327167,
,6.,農林水産基盤整備事業費,,611391000,255210596,866601596,
,7.,社会資本総合整備事業費,,1485112000,428035000,1913147000,
,8.,推進費等,,76003000,－,76003000,
,小　　　　　　計,,,5993238000,1596312360,7589550360,
,9.,災害復旧等事業費,,76228000,400546000,476774000,
,計,,,6069466000,1996858360,8066324360,
,経済協力費,,,510839061,157854795,668693856,
,中小企業対策費,,,174501052,3972422451,4146923503,　
,エネルギー対策費,,,889128638,377302198,1266430836,
,食料安定供給関係費,,,1277274638,497686718,1774961356,
,その他の事項経費,,,5773206153,9841103216,15614309369,
,新型コロナウイルス感染症対策予備費,,,5000000000,－,5000000000,
,予備費,,,500000000,－,500000000,
,,,,,,,
,合　　　　　　計,,,106609707875,35989510824,142599218699,
