,,,,,,（単位：千円）,
令　　　　　和　　　　　２　　　　　年　　　　　度,,,,,,,
主　 要　 経　 費 　別,,,,当　初　予　算,補　正　予　算,計,
,,,,,,,
,社会保障関係費,,,,,,
,,,,12523170516,－,12523170516,
,1.,年金給付費,,12523170516,－,12523170516,
,,,,12154602240,-3290075,12151312165,
,2.,医療給付費,,12154602240,-3290075,12151312165,
,,,,3383750556,-12597763,3371152793,
,3.,介護給付費,,3383750556,-12597763,3371152793,
,,,,3038733626,20045046,3058778672,
,4.,少子化対策費,,3038733626,20045046,3058778672,
,,,,4177563771,1391470340,5569034111,
,5.,生活扶助等社会福祉費,,4202725344,1391470340,5594195684,
,,,,494855330,5807691732,6302547062,
,6.,保健衛生対策費,,518350714,5807691732,6326042446,
,,,,39463942,1115343027,1154806969,
,7.,雇用労災対策費,,39463942,1115343027,1154806969,
,,,,35812139981,8318662307,44130802288,
,計,,,35860796938,8318662307,44179459245,
,文教及び科学振興費,,,,,,
,,,,1522141000,3967000,1526108000,
,1.,義務教育費国庫負担金,,1522141000,3967000,1526108000,
,,,,1356511374,3318888872,4675400246,
,2.,科学技術振興費,,1363864598,3318888872,4682753470,
,,,,74298606,170807413,245106019,
,3.,文教施設費,,124998606,170807413,295806019,
,,,,2320595626,367036422,2687632048,
,4.,教育振興助成費,,2376846354,367036422,2743882776,
,,,,117608751,10779497,128388248,
,5.,育英事業費,,117608751,10779497,128388248,
,,,,5391155357,3871479204,9262634561,
,計,,,5505459309,3871479204,9376938513,
,,,,23351520636,-326935393,23024585243,
,国債費,,,23351520636,-326935393,23024585243,
,恩給関係費,,,,,,
,,,,6624235,-17500,6606735,
,1.,文官等恩給費,,6624235,-17500,6606735,
,,,,158271671,－,158271671,
,2.,旧軍人遺族等恩給費,,158271671,－,158271671,
,,,,940167,-151100,789067,
,3.,恩給支給事務費,,940167,-151100,789067,
,,,,9147562,-237,9147325,
,4.,遺族及び留守家族等援護費,,9147562,-237,9147325,
,,,,174983635,-168837,174814798,
,計,,,174983635,-168837,174814798,
,,,,15608534600,422100000,16030634600,
,地方交付税交付金,,,15608534600,422100000,16030634600,
,,,,200727000,24882000,225609000,
,地方特例交付金,,,200727000,24882000,225609000,
,,,,5262509178,362457685,5624966863,
,防衛関係費,,,5313345107,362457685,5675802792,
,公共事業関係費,,,,,,
,,,,917661000,447403871,1365064871,
,1.,治山治水対策事業費,,1137507000,447403871,1584910871,
,,,,1655734000,361981166,2017715166,
,2.,道路整備事業費,,1781931000,361981166,2143912166,
,,,,412825000,70636120,483461120,
,3.,港湾空港鉄道等整備事業費,,458437000,70636120,529073120,
,,,,673673000,42432877,716105877,
,4.,住宅都市環境整備事業費,,694722000,42432877,737154877,
,,,,127185000,80776712,207961712,
,5.,公園水道廃棄物処理等施設整備費,,137185000,80776712,217961712,
,,,,614105000,262381005,876486005,
,6.,農林水産基盤整備事業費,,692613000,262381005,954994005,
,,,,1512468000,540329000,2052797000,
,7.,社会資本総合整備事業費,,1801456000,540329000,2341785000,
,,,,78053000,500000,78553000,
,8.,推進費等,,78053000,500000,78553000,
,,,,5991704000,1806440751,7798144751,
,小　　　　　　計,,,6781904000,1806440751,8588344751,
,,,,75162000,605687000,680849000,
,9.,災害復旧等事業費,,75162000,605687000,680849000,
,,,,6066866000,2412127751,8478993751,
,計,,,6857066000,2412127751,9269193751,
,,,,512271349,277735872,790007221,
,経済協力費,,,512271349,277735872,790007221,
,,,,172272017,26001473503,26173745520,
,中小企業対策費,,,175272017,26001473503,26176745520,　
,,,,900764281,74097704,974861985,
,エネルギー対策費,,,949483304,74097704,1023581008,
,,,,983248764,859015546,1842264310,
,食料安定供給関係費,,,984014987,859015546,1843030533,
,,,,5942155950,21096756361,27038912311,
,その他の事項経費,,,6664496444,21082868687,27747365131,
,,,,－,9650000000,9650000000,
,新型コロナウイルス感染症対策予備費,,,－,9650000000,9650000000,
,,,,500000000,－,500000000,
,予備費,,,500000000,－,500000000,
,,,,,,,
,,,,100879148748,73043683703,173922832451,
,合　　　　　　計,,,102657971326,73029796029,175687767355,
