,,,,,,（単位：千円）
令　　　　　和　　　　　７　　　　　年　　　　　度,,,,,,
主　 要　 経　 費 　別,,,,当　初　予　算,補　正　予　算,計
,,,,,,
,社会保障関係費,,,,,
,1.,年金給付費,,13691642004,-,13691642004
,2.,医療給付費,,12336830661,40599293,12377429954
,3.,介護給付費,,3727384851,-1576181,3725808670
,4.,少子化対策費,,3521311578,17788960,3539100538
,5.,生活扶助等社会福祉費,,4527484514,1319773381,5847257895
,6.,保健衛生対策費,,443391127,1289535878,1732927005
,7.,雇用労災対策費,,45782772,633848,46416620
,計,,,38293827507,2666755179,40960582686
,文教及び科学振興費,,,,,
,1.,義務教育費国庫負担金,,1620953000,71548000,1692501000
,2.,科学技術振興費,,1422132948,1277376131,2699509079
,3.,文教施設費,,73557460,271256731,344814191
,4.,教育振興助成費,,2422692497,541816065,2964508562
,5.,育英事業費,,116675714,4316025,120991739
,計,,,5656011619,2166312952,7822324571
,国債費,,,28217876364,-28091299,28189785065
,恩給関係費,,,62253707,275687,62529394
,地方交付税交付金,,,18679237150,1304124346,19983361496
,地方特例交付金,,,193600000,-,193600000
,防衛関係費,,,8669056598,1473226440,10142283038
,公共事業関係費,,,,,
,1.,治山治水対策事業費,,962738000,399489642,1362227642
,2.,道路整備事業費,,1672077000,407810404,2079887404
,3.,港湾空港鉄道等整備事業費,,413580000,95694791,509274791
,4.,住宅都市環境整備事業費,,730158000,187083974,917241974
,5.,公園水道廃棄物処理等施設整備費,,222280000,112607591,334887591
,6.,農林水産基盤整備事業費,,608044000,303047375,911091375
,7.,社会資本総合整備事業費,,1334365000,435976081,1770341081
,8.,推進費等,,82838000,12310000,95148000
,小　　　　　　計,,,6026080000,1954019858,7980099858
,9.,災害復旧等事業費,,59672000,585798000,645470000
,計,,,6085752000,2539817858,8625569858
,経済協力費,,,505018304,177725606,682743910
,中小企業対策費,,,169461468,884204371,1053665839
,エネルギー対策費,,,811103878,279773856,1090877734
,食料安定供給関係費,,,1260866065,510232481,1771098546
,その他の事項経費,,,5854297900,5619244195,11473542095
,予備費,,,739482688,709772907,1449255595
,,,,,,
,合　　　　　　計,,,115197845248,18303374579,133501219827
