令和7年1月1日住民基本台帳人口・世帯数、令和6年（1月1日から同年12月31日まで）人口動態（市区町村別）（総計）,,,,,,,,,,,,,,,,,,,,,,,,
,,,令和7年,令和7年,令和7年,令和7年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年
,,,2025年,2025年,2025年,2025年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年
,,,人口,人口,人口,世帯数,住民票記載数,住民票記載数,住民票記載数,住民票記載数,住民票記載数,住民票記載数,住民票消除数,住民票消除数,住民票消除数,住民票消除数,住民票消除数,住民票消除数,増減数(Ａ)-(Ｂ),増減率,自然増減数,自然増減率,社会増減数,社会増減率
,,,男,女,計,世帯数,転入者数（国内）,転入者数（国外）,転入者数（計）,出生者数,その他（計）,計（Ａ）,転出者数（国内）,転出者数（国外）,転出者数（計）,死亡者数,その他（計）,計（Ｂ）,増減数(Ａ)-(Ｂ),増減率,自然増減数,自然増減率,社会増減数,社会増減率
団体コード,都道府県名,市区町村名,人,人,人,世帯,人,人,人,人,人,人,人,人,人,人,人,人,人,％,人,％,人,％
012114,北海道,網走市,15772,16427,32199,17876,1364,162,1526,160,53,1739,1773,66,1839,536,11,2386,-647,-1.9697984533885406,-376,-1.1447360409182243,-271,-0.8250624124703161
012122,北海道,留萌市,8784,9385,18169,10540,753,32,785,69,14,868,1050,22,1072,321,1,1394,-526,-2.813586520460016,-252,-1.3479539983952928,-274,-1.4656325220647233
012131,北海道,苫小牧市,81259,84331,165590,91421,5614,483,6097,779,47,6923,5638,266,5904,2216,59,8179,-1256,-0.7527899979621927,-1437,-0.8612732699615214,181,0.10848327199932872
012149,北海道,稚内市,15022,15314,30336,17031,1120,278,1398,113,10,1521,1568,88,1656,471,4,2131,-610,-1.9711755961998318,-358,-1.1568538744910488,-252,-0.814321721708783
012157,北海道,美唄市,8741,9686,18427,10596,450,32,482,43,0,525,634,16,650,420,4,1074,-549,-2.8931281618887015,-377,-1.9867200674536254,-172,-0.906408094435076
012165,北海道,芦別市,5191,6052,11243,6721,275,12,287,32,4,323,362,5,367,282,2,651,-328,-2.8346728891193504,-250,-2.160573848414139,-78,-0.6740990407052113
012173,北海道,江別市,56089,61966,118055,59860,4472,259,4731,542,28,5301,4151,186,4337,1565,30,5932,-631,-0.5316549550915862,-1023,-0.8619382235478489,392,0.33028326845626277
012181,北海道,赤平市,3850,4614,8464,5244,228,24,252,19,2,273,284,12,296,252,2,550,-277,-3.168973801624528,-233,-2.665598901727491,-44,-0.5033748998970369
012190,北海道,紋別市,9278,10482,19760,11560,650,391,1041,76,5,1122,1046,166,1212,390,20,1622,-500,-2.4679170779861797,-314,-1.5498519249753209,-186,-0.9180651530108589
012203,北海道,士別市,7844,8596,16440,8731,418,149,567,55,0,622,751,32,783,259,9,1051,-429,-2.5431264449582076,-204,-1.2093188689311756,-225,-1.3338075760270318
012211,北海道,名寄市,12008,12734,24742,13703,1046,49,1095,123,10,1228,1457,16,1473,388,1,1862,-634,-2.498423707440101,-265,-1.0442938209331651,-369,-1.4541298865069359
012220,北海道,三笠市,3354,3914,7268,4385,275,5,280,24,1,305,288,4,292,209,1,502,-197,-2.6389819156061622,-185,-2.478231748158071,-12,-0.1607501674480911
012238,北海道,根室市,10709,11759,22468,12074,705,230,935,96,6,1037,1054,87,1141,420,14,1575,-538,-2.338520385986264,-324,-1.4083282621924715,-214,-0.9301921237937929
012246,北海道,千歳市,49513,47842,97355,52491,5485,424,5909,608,24,6541,5981,191,6172,982,31,7185,-644,-0.6571495627506403,-374,-0.38163654731170726,-270,-0.27551301543893303
012254,北海道,滝川市,17316,19199,36515,20643,1437,48,1485,162,20,1667,1802,27,1829,629,3,2461,-794,-2.128172826931839,-467,-1.2517087029939156,-327,-0.8764641239379238
012262,北海道,砂川市,7066,8165,15231,8420,546,22,568,74,7,649,636,11,647,290,1,938,-289,-1.8621134020618557,-216,-1.3917525773195878,-73,-0.47036082474226804
012271,北海道,歌志内市,1244,1340,2584,1613,68,13,81,8,0,89,101,4,105,68,0,173,-84,-3.1484257871064467,-60,-2.2488755622188905,-24,-0.8995502248875562
012289,北海道,深川市,8520,9809,18329,10244,579,74,653,68,6,727,759,15,774,386,2,1162,-435,-2.318269025794074,-318,-1.6947345981667021,-117,-0.6235344276273715
012297,北海道,富良野市,9281,10343,19624,10586,799,391,1190,83,11,1284,1068,198,1266,327,16,1609,-325,-1.6291543435761189,-244,-1.2231189533309939,-81,-0.4060353902451251
012301,北海道,登別市,20851,22764,43615,23891,1417,176,1593,164,6,1763,1750,66,1816,778,5,2599,-836,-1.880722593417471,-614,-1.3812962588018267,-222,-0.4994263346156442
012319,北海道,恵庭市,34249,36197,70446,36137,3257,464,3721,378,23,4122,3047,120,3167,825,38,4030,92,0.1307672627000597,-447,-0.6353583307274641,539,0.7661255934275236
012335,北海道,伊達市,14437,16771,31208,17380,1029,131,1160,115,11,1286,1196,80,1276,614,10,1900,-614,-1.9294827477845518,-499,-1.5680975425806047,-115,-0.36138520520394696
012343,北海道,北広島市,26995,29500,56495,28394,2175,151,2326,202,20,2548,2156,70,2226,724,6,2956,-408,-0.7170096479974694,-522,-0.9173505790555859,114,0.20034093105811643
012351,北海道,石狩市,27641,29502,57143,28708,1766,197,1963,258,12,2233,1744,129,1873,831,31,2735,-502,-0.8708474282244774,-573,-0.9940150923757483,71,0.1231676641512707
012360,北海道,北斗市,20159,22651,42810,22074,1198,125,1323,173,21,1517,1627,41,1668,683,16,2367,-850,-1.946862116353642,-510,-1.168117269812185,-340,-0.7787448465414567
013030,北海道,石狩郡当別町,7392,7721,15113,7784,614,57,671,56,13,740,655,31,686,219,8,913,-173,-1.131754546643988,-163,-1.066335208687688,-10,-0.06541933795629988
013048,北海道,石狩郡新篠津村,1320,1410,2730,1341,68,8,76,7,0,83,95,5,100,61,0,161,-78,-2.7777777777777777,-54,-1.9230769230769231,-24,-0.8547008547008548
013315,北海道,松前郡松前町,2757,3061,5818,3579,160,7,167,11,3,181,224,3,227,163,3,393,-212,-3.5157545605306795,-152,-2.5207296849087895,-60,-0.9950248756218906
013323,北海道,松前郡福島町,1582,1796,3378,1900,98,9,107,11,1,119,104,5,109,99,0,208,-89,-2.567060859532737,-88,-2.5382174790885492,-1,-0.028843380444188056
013331,北海道,上磯郡知内町,1865,1918,3783,1962,126,0,126,14,0,140,164,16,180,66,9,255,-115,-2.9502308876346843,-52,-1.3340174448435094,-63,-1.616213442791175
013340,北海道,上磯郡木古内町,1655,1873,3528,1982,96,7,103,11,0,114,130,2,132,98,0,230,-116,-3.1833150384193196,-87,-2.3874862788144897,-29,-0.7958287596048299
013374,北海道,亀田郡七飯町,12558,14581,27139,14036,903,76,979,127,9,1115,976,60,1036,475,9,1520,-405,-1.4703746732500727,-348,-1.263433052570433,-57,-0.20694162067963984
013439,北海道,茅部郡鹿部町,1669,1839,3508,1857,107,48,155,8,2,165,120,41,161,62,4,227,-62,-1.7366946778711485,-54,-1.5126050420168067,-8,-0.22408963585434172
013455,北海道,茅部郡森町,6326,7256,13582,7464,352,246,598,44,6,648,531,134,665,254,12,931,-283,-2.0411107104219255,-210,-1.5146051208077893,-73,-0.5265055896141363
013463,北海道,二海郡八雲町,7202,7312,14514,7956,659,156,815,62,3,880,754,134,888,238,19,1145,-265,-1.793084782461601,-176,-1.1908789498612897,-89,-0.6022058326003112
013471,北海道,山越郡長万部町,2224,2472,4696,2766,193,124,317,24,4,345,244,85,329,124,13,466,-121,-2.5119368901806105,-100,-2.075980900975711,-21,-0.43595598920489936
