,,,,,,,（単位：千円）
年度,区　　 分,歳　　　　　　　　　　入,,歳　　　　　　　　　　出,,備　　　　　　　考,備　　　考
,,予　　算　　額,決　　算　　額,予　　算　　額,決　　算　　額,,
,,,,,,,
平成,暫定予算,,,,,,
,　第164国会,4521909815,89000271286,4521909815,85519592207,,
,計,86704827493,,86704827493,,,
,,,,,,,
18,本予算,,,,,,
,　第164国会,79686024221,,79686024221,,,
,補正予算,,,,,,
,　第166国会,3772318805,,3772318805,,,
,計,83458343026,84412713795,83458343026,81445480694,,
,,,,,,,
19,本予算,,,,,,
,　第166国会,82908807811,,82908807811,,,
,補正予算,,,,,,
,　第169国会,895383483,,895383483,,,
,計,83804191294,84553478596,83804191294,81842570225,,
,,,,,,,
20,本予算,,,,,,
,　第169国会,83061339913,,83061339913,,,
,補正予算,,,,,,
,　第170国会,,,,,,
,　　　 1 号,1064122005,,1064122005,,,
,補正予算,,,,,,
,　第171国会,,,,,,
,　　　 2 号,4785750798,,4785750798,,,
,計,88911212716,89208229535,88911212716,84697395043,,
,,,,,,,
21,本予算,,,,,,
,　第171国会,88548001321,,88548001321,,,
,補正予算,,,,,,
,　第171国会,,,,,,
,　　　 1 号,13925558233,,13925558233,,,
,補正予算,,,,,,
,第174国会,,,,,,
,　　　 2 号,84595989,,84595989,,,
,計,102558155543,107114243108,102558155543,100973424388,,
,,,,,,,
22,本予算,,,,,,
,　第174国会,92299192619,,92299192619,,,
,補正予算,,,,,,
,　第176国会,,,,,,
,　　　 1 号,4429200066,,4429200066,,,
,計,96728392685,100534562749,96728392685,95312341707,,
,,,,,,,
23,本予算,,,,,,
,　第177国会,92411612715,,92411612715,,,
,補正予算,,,,,,
,　第177国会,,,,,,
,　　　 1 号,305081450,,305081450,,,
,補正予算,,,,,,
,　第177国会,,,,,,
,　　　 2 号,1998776718,,1998776718,,,
,補正予算,,,,,,
,　第179国会,,,,,,
,　　　 3 号,11683206319,,11683206319,,,
,補正予算,,,,,,
,　第180国会,,,,,,
,　　　 4 号,1111789654,,1111789654,,,
,計,107510466856,109979527619,107510466856,100715409134,,
,,,,,,,
24,暫定予算,,,,,,
,　第180国会,11836720,,3610496378,,,4月1日～6日分
,本予算,,,,,,
,　第180国会,90333931511,,90333931511,,,
,補正予算,,,,,,
,　第183国会,,,,,,
,　　　 1 号,10202717433,,10202717433,,,
,計,100536648944,107762032718,100536648944,97087176621,,
,,,,,,,
平成,暫定予算,,,,,,
25年度,　第183国会,2419241439,,13180835113,,,4月1日～5月20日分
,本予算,,,,,,
,　第183国会,92611539328,,92611539328,,,
,補正予算,,,,,,
,　第186国会,,,,,,
,　　　 1 号,5465428138,,5465428138,,,
,計,98076967466,106044663640,98076967466,100188878834,,
,,,,,,,
26,本予算,,,,,,
,　第186国会,95882302829,,95882302829,,,
,補正予算,,,,,,
,　第189国会,,,,,,
,　　　 1 号,3118034864,,3118034864,,,
,計,99000337693,104679121833,99000337693,98813467430,,
,,,,,,,
27,暫定予算,,,,,,
,第189国会,26289075,,5759290035,,,4月1日～4月11日分
,本予算,,,,,,
,第189国会,96341950970,,96341950970,,,
,補正予算,,,,,,
,第190国会,,,,,,
,　　　 1 号,3321323997,,3321323997,,,
,計,99663274967,102175307122,99663274967,98230324099,,
,,,,,,,
28,本予算,,,,,,
,第190国会,96721841054,,96721841054,,,
,補正予算,,,,,,
,第190国会,,,,,,
,1号　,-,,-,,,
,補正予算,,,,,,
,第192国会,,,,,,
,2号　,3286870424,,3286870424,,,
,補正予算,,,,,,
,第193国会,,,,,,
